source,line,symbol,phase_hint,family,task,file_sha256
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FBoxSphereBounds3f.cpp,81,Bind_FBoxSphereBounds3f_ToStringContribution,TypeInfrastructure,Math,5.2,73506759bb887171d81851c5836e0d36dd3c4dd52d1d62397e92b17b54c26fd9
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FBoxSphereBounds3f.cpp,89,Bind_FBoxSphereBounds3f,ExplicitBindings,Math,5.2,73506759bb887171d81851c5836e0d36dd3c4dd52d1d62397e92b17b54c26fd9
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FCollisionQueryParams.cpp,422,Bind_FCollisionQueryParams_TypeDeclarations,TypeDeclarations,EngineGameplay,5.5,80d812646511601b27a21eeb3b60096631a63ce97abec4c716647cc497ff79e1
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FCollisionQueryParams.cpp,456,Bind_FCollisionQueryParams_TypeInfrastructure,TypeInfrastructure,EngineGameplay,5.5,80d812646511601b27a21eeb3b60096631a63ce97abec4c716647cc497ff79e1
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FCollisionQueryParams.cpp,468,Bind_FCollisionQueryParams_ManualBindings,ExplicitBindings,EngineGameplay,5.5,80d812646511601b27a21eeb3b60096631a63ce97abec4c716647cc497ff79e1
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FCollisionShape.cpp,78,Bind_FCollisionShape_Types,TypeDeclarations,EngineGameplay,5.5,5398aa521c300ec83935360b1792377e3c11203fc1266397c65557d3224a5c71
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FCollisionShape.cpp,95,Bind_FCollisionShape,ExplicitBindings,EngineGameplay,5.5,5398aa521c300ec83935360b1792377e3c11203fc1266397c65557d3224a5c71
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FColor.cpp,86,Bind_FColor,ExplicitBindings,Math,5.2,ad3052012a60a26f568f0bb7865d2f1ea415c1a357b7e12cdb84340359360a68
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FColor.cpp,148,Bind_FColor_ToStringContribution,TypeInfrastructure,Math,5.2,ad3052012a60a26f568f0bb7865d2f1ea415c1a357b7e12cdb84340359360a68
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FCommandLine.cpp,23,Bind_FCommandLine,ExplicitBindings,EngineServices,5.6,fa526073235dcf19a3068708fb3fc4e80aa0b2a80f0e3e7cdd5205367fc6b064
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FCpuProfilerTraceScoped.cpp,21,Bind_TraceCPUProfilerEventScoped,ExplicitBindings,EngineServices,5.6,179475ece26ba65d10fb4fb0ba2b811176d3b11cf795e28f5769d1d45108e6c9
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FDateTime.cpp,166,Bind_FDateTime_ToStringContribution,TypeInfrastructure,Core,5.1,48fca4452d5496c5f6d8a3a59f1a3f8e5003612913c06c06309a9df3a35bbe27
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FDateTime.cpp,174,Bind_FDateTime,ExplicitBindings,Core,5.1,48fca4452d5496c5f6d8a3a59f1a3f8e5003612913c06c06309a9df3a35bbe27
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FFileHelper.cpp,49,Bind_FFileHelper_Types,TypeDeclarations,EngineServices,5.6,6569039d571a1236b08b892dee010fc4368ea17a36ea408cf90bfbf9274cb23e
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FFileHelper.cpp,83,Bind_FFileHelper,ExplicitBindings,EngineServices,5.6,6569039d571a1236b08b892dee010fc4368ea17a36ea408cf90bfbf9274cb23e
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FFormatArgumentValue.cpp,32,Bind_FFormatArgumentValue_Type,TypeDeclarations,Core,5.1,e205519a912c2d4c609deab2908a0b05e30d7df133ca40e3f8e0e8aba27ea790
Plugins/Angelscript/Source/AngelscriptRuntime/Binds/Bind_FFormatArgumentValue.cpp,42,Bind_FFormatArgumentValue_Infrastructure,TypeInfrastructure,Core,5.1,e205519a912c2d4c609deab2908a0b05e30d7df133ca40e3f8e0e8aba27ea790
