"SourceFile","SourceLine","Provider","ProviderVariable","ProviderBindNameExpression","ProviderSourceLine","ProviderAttribution","RegistrationApi","BoundFunctionVariable","ArgumentCount","DeclarationExpression","LiteralDeclaration","CppTargetExpression","FluentTraits","HasNativeForm","NativeFormSource","EffectiveNativeFormMethods","EffectiveNativeCallableDisplays","NativeFormMethods","NativeFormArgumentCounts","NativeCallableDisplayExpressions","NativeCallableLiteralDisplays","NativeHeaderExpressions","NativeLiteralHeaders","ImplicitNativeFormMacro","ImplicitNativeFormMethod","ImplicitNativeCallableDisplay","ImplicitNativeTrivial","HasExternalDescriptor","ExternalDescriptorSource","ExternalDescriptorSourceLines","ExternalDescriptorHelpers","ExternalDescriptorLinkages","ExternalDescriptorSymbols","ExternalDescriptorIncludes","ExternalDescriptorOwningModules","HasCompileOut","CompileOutMethods","SourceEvidenceDisposition","SourceEvidenceReason","RequiredInstalledAuthority","JoinStatus"
"Binds/Bind_AActor.cpp","174","AActor.Manual","Bind_AActor","TEXT(""AActor.Manual"")","119","lexical-preceding-provider","BindGlobalFunctionForTarget","","2","""void FinishSpawningActor(AActor Actor, const FTransform& SpawnTransform)""","void FinishSpawningActor(AActor Actor, const FTransform& SpawnTransform)","FUNC(FAngelscriptActorBinds::FinishSpawningActor_Transform)",";","True","implicit-macro","NativeFunction","FAngelscriptActorBinds::FinishSpawningActor_Transform","","","","","","","FUNC","NativeFunction","FAngelscriptActorBinds::FinishSpawningActor_Transform","false","False","","","","","","","","False","","bridge-candidate","native-form-without-external-descriptor","installed-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_AActor.cpp","177","AActor.Manual","Bind_AActor","TEXT(""AActor.Manual"")","119","lexical-preceding-provider","BindGlobalFunctionForTarget","","2","""AActor SpawnPersistentActor(const TSubclassOf<AActor>& Class, const FTransform& SpawnTransform, const FActorSpawnParameters& SpawnParameters)""","AActor SpawnPersistentActor(const TSubclassOf<AActor>& Class, const FTransform& SpawnTransform, const FActorSpawnParameters& SpawnParameters)","FUNC(FAngelscriptActorBinds::SpawnPersistentActorWithParameters)",".DeterminesOutputType(0);","True","implicit-macro","NativeFunction","FAngelscriptActorBinds::SpawnPersistentActorWithParameters","","","","","","","FUNC","NativeFunction","FAngelscriptActorBinds::SpawnPersistentActorWithParameters","false","False","","","","","","","","False","","bridge-candidate","native-form-without-external-descriptor","installed-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_AActor.cpp","181","AActor.Manual","Bind_AActor","TEXT(""AActor.Manual"")","119","lexical-preceding-provider","BindGlobalFunctionForTarget","","2","""AActor SpawnPersistentActor(const TSubclassOf<AActor>& Class, const FVector& Location = FVector::ZeroVector, const FRotator& Rotation = FRotator::ZeroRotator, const FName& Name = NAME_None, bool bDeferredSpawn = false)""","AActor SpawnPersistentActor(const TSubclassOf<AActor>& Class, const FVector& Location = FVector::ZeroVector, const FRotator& Rotation = FRotator::ZeroRotator, const FName& Name = NAME_None, bool bDeferredSpawn = false)","FUNC(FAngelscriptActorBinds::SpawnPersistentActor)",".DeterminesOutputType(0);","True","implicit-macro","NativeFunction","FAngelscriptActorBinds::SpawnPersistentActor","","","","","","","FUNC","NativeFunction","FAngelscriptActorBinds::SpawnPersistentActor","false","False","","","","","","","","False","","bridge-candidate","native-form-without-external-descriptor","installed-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_AActor.cpp","187","AActor.Manual","Bind_AActor","TEXT(""AActor.Manual"")","119","lexical-preceding-provider","Method","","2","""AActor SpawnActor(const TSubclassOf<AActor>& Class, const FTransform& SpawnTransform, const FActorSpawnParameters& SpawnParameters)""","AActor SpawnActor(const TSubclassOf<AActor>& Class, const FTransform& SpawnTransform, const FActorSpawnParameters& SpawnParameters)","&FAngelscriptActorBinds::SpawnActorInWorld",".DeterminesOutputType(0);","False","","","","","","","","","","","","","","False","","","","","","","","False","","bridge-or-unsupported-review","no-external-descriptor-or-native-form","installed-callable-kind-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_AActor.cpp","215","AActor.Manual","Bind_AActor","TEXT(""AActor.Manual"")","119","lexical-preceding-provider","BindGlobalFunctionForTarget","","3","FunctionDeclaration","","FUNC(FAngelscriptActorBinds::SpawnActorFromMeta)",".PassScriptFunctionAsFirstParam();","True","implicit-macro","NativeFunction","FAngelscriptActorBinds::SpawnActorFromMeta","","","","","","","FUNC","NativeFunction","FAngelscriptActorBinds::SpawnActorFromMeta","false","False","","","","","","","","False","","bridge-candidate","native-form-without-external-descriptor","installed-scalar-abi-routing-lifetime-and-current-caller-validation;dynamic-declaration-expansion","source-callsite-awaiting-installed-provenance"
"Binds/Bind_AActor.cpp","224","AActor.Manual","Bind_AActor","TEXT(""AActor.Manual"")","119","lexical-preceding-provider","BindGlobalFunctionForTarget","","3","SpawnWithParametersDeclaration","","FUNC(FAngelscriptActorBinds::SpawnActorFromMetaWithParameters)",".PassScriptFunctionAsFirstParam();","True","implicit-macro","NativeFunction","FAngelscriptActorBinds::SpawnActorFromMetaWithParameters","","","","","","","FUNC","NativeFunction","FAngelscriptActorBinds::SpawnActorFromMetaWithParameters","false","False","","","","","","","","False","","bridge-candidate","native-form-without-external-descriptor","installed-scalar-abi-routing-lifetime-and-current-caller-validation;dynamic-declaration-expansion","source-callsite-awaiting-installed-provenance"
"Binds/Bind_APlayerController.cpp","66","AController.Functions","Bind_AController","TEXT(""AController.Functions"")","60","lexical-preceding-provider","Method","","2","""APawn GetPawn() const""","APawn GetPawn() const","&FAngelscriptAPlayerControllerBinds::GetPawn",";","False","","","","","","","","","","","","","","False","","","","","","","","False","","bridge-or-unsupported-review","no-external-descriptor-or-native-form","installed-callable-kind-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_APlayerController.cpp","67","AController.Functions","Bind_AController","TEXT(""AController.Functions"")","60","lexical-preceding-provider","Method","","2","""ACharacter GetCharacter() const""","ACharacter GetCharacter() const","&FAngelscriptAPlayerControllerBinds::GetCharacter",";","False","","","","","","","","","","","","","","False","","","","","","","","False","","bridge-or-unsupported-review","no-external-descriptor-or-native-form","installed-callable-kind-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_APlayerController.cpp","68","AController.Functions","Bind_AController","TEXT(""AController.Functions"")","60","lexical-preceding-provider","Method","","2","""bool IsLocalController() const""","bool IsLocalController() const","&FAngelscriptAPlayerControllerBinds::IsLocalController",";","False","","","","","","","","","","","","","","False","","","","","","","","False","","bridge-or-unsupported-review","no-external-descriptor-or-native-form","installed-callable-kind-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_APlayerController.cpp","69","AController.Functions","Bind_AController","TEXT(""AController.Functions"")","60","lexical-preceding-provider","Method","","2","""bool IsPlayerController() const""","bool IsPlayerController() const","&FAngelscriptAPlayerControllerBinds::IsPlayerController",";","False","","","","","","","","","","","","","","False","","","","","","","","False","","bridge-or-unsupported-review","no-external-descriptor-or-native-form","installed-callable-kind-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_APlayerController.cpp","70","AController.Functions","Bind_AController","TEXT(""AController.Functions"")","60","lexical-preceding-provider","Method","","2","""bool IsLocalPlayerController() const""","bool IsLocalPlayerController() const","&FAngelscriptAPlayerControllerBinds::IsLocalPlayerController",";","False","","","","","","","","","","","","","","False","","","","","","","","False","","bridge-or-unsupported-review","no-external-descriptor-or-native-form","installed-callable-kind-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_APlayerController.cpp","71","AController.Functions","Bind_AController","TEXT(""AController.Functions"")","60","lexical-preceding-provider","Method","","2","""FRotator GetControlRotation() const""","FRotator GetControlRotation() const","&FAngelscriptAPlayerControllerBinds::GetControlRotation",";","False","","","","","","","","","","","","","","False","","","","","","","","False","","bridge-or-unsupported-review","no-external-descriptor-or-native-form","installed-callable-kind-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_APlayerController.cpp","72","AController.Functions","Bind_AController","TEXT(""AController.Functions"")","60","lexical-preceding-provider","Method","","2","""void SetControlRotation(const FRotator& NewRotation)""","void SetControlRotation(const FRotator& NewRotation)","&FAngelscriptAPlayerControllerBinds::SetControlRotation",";","False","","","","","","","","","","","","","","False","","","","","","","","False","","bridge-or-unsupported-review","no-external-descriptor-or-native-form","installed-callable-kind-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_APlayerController.cpp","80","AController.Functions","Bind_AController","TEXT(""AController.Functions"")","60","lexical-preceding-provider","Method","","2","""void SetPlayer(UPlayer InPlayer)""","void SetPlayer(UPlayer InPlayer)","METHOD_TRIVIAL(APlayerController, SetPlayer)",";","True","implicit-macro","NativeMethod","SetPlayer","","","","","","","METHOD_TRIVIAL","NativeMethod","SetPlayer","true","False","","","","","","","","False","","bridge-candidate","native-form-without-external-descriptor","installed-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_APlayerController.cpp","81","AController.Functions","Bind_AController","TEXT(""AController.Functions"")","60","lexical-preceding-provider","Method","","2","""ULocalPlayer GetLocalPlayer() const""","ULocalPlayer GetLocalPlayer() const","METHOD_TRIVIAL(APlayerController, GetLocalPlayer)",";","True","implicit-macro","NativeMethod","GetLocalPlayer","","","","","","","METHOD_TRIVIAL","NativeMethod","GetLocalPlayer","true","False","","","","","","","","False","","bridge-candidate","native-form-without-external-descriptor","installed-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_APlayerController.cpp","82","AController.Functions","Bind_AController","TEXT(""AController.Functions"")","60","lexical-preceding-provider","Method","","2","""APlayerState GetPlayerState() const""","APlayerState GetPlayerState() const","&FAngelscriptAPlayerControllerBinds::GetPlayerState",";","False","","","","","","","","","","","","","","False","","","","","","","","False","","bridge-or-unsupported-review","no-external-descriptor-or-native-form","installed-callable-kind-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_APlayerController.cpp","83","AController.Functions","Bind_AController","TEXT(""AController.Functions"")","60","lexical-preceding-provider","Method","","2","""APlayerCameraManager GetPlayerCameraManager() const""","APlayerCameraManager GetPlayerCameraManager() const","&FAngelscriptAPlayerControllerBinds::GetPlayerCameraManager",";","False","","","","","","","","","","","","","","False","","","","","","","","False","","bridge-or-unsupported-review","no-external-descriptor-or-native-form","installed-callable-kind-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_APlayerController.cpp","84","AController.Functions","Bind_AController","TEXT(""AController.Functions"")","60","lexical-preceding-provider","Method","","2","""void SetViewTargetWithBlend(AActor NewViewTarget, float32 BlendTime = 0.0, EViewTargetBlendFunction BlendFunc = EViewTargetBlendFunction::VTBlend_Linear, float32 BlendExp = 0.0, bool bLockOutgoing = false)""","void SetViewTargetWithBlend(AActor NewViewTarget, float32 BlendTime = 0.0, EViewTargetBlendFunction BlendFunc = EViewTargetBlendFunction::VTBlend_Linear, float32 BlendExp = 0.0, bool bLockOutgoing = false)","&FAngelscriptAPlayerControllerBinds::SetViewTargetWithBlend",";","False","","","","","","","","","","","","","","False","","","","","","","","False","","bridge-or-unsupported-review","no-external-descriptor-or-native-form","installed-callable-kind-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_APlayerController.cpp","94","AController.Functions","Bind_AController","TEXT(""AController.Functions"")","60","lexical-preceding-provider","Method","","2","""AController GetController() const""","AController GetController() const","&FAngelscriptAPlayerControllerBinds::GetController",";","False","","","","","","","","","","","","","","False","","","","","","","","False","","bridge-or-unsupported-review","no-external-descriptor-or-native-form","installed-callable-kind-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
"Binds/Bind_APlayerController.cpp","95","AController.Functions","Bind_AController","TEXT(""AController.Functions"")","60","lexical-preceding-provider","Method","","2","""APlayerController GetPlayerController() const""","APlayerController GetPlayerController() const","&FAngelscriptAPlayerControllerBinds::GetPlayerController",";","False","","","","","","","","","","","","","","False","","","","","","","","False","","bridge-or-unsupported-review","no-external-descriptor-or-native-form","installed-callable-kind-scalar-abi-routing-lifetime-and-current-caller-validation","source-callsite-awaiting-installed-provenance"
