"StableId","OwnerStableId","Namespace","CallableKind","CanonicalDeclaration","RegisteredName","Behavior","ReturnType","ParameterCount","ParameterTypes","HasDefaultArguments","HasReferenceArguments","HasHandleArguments","Availability","UEFunctionPath","Origin","OriginModule","OriginPlugin","CppCallableDisplay","NativeFormKind","ExternalLinkage","ExpectedAbi","Disposition","ReviewStatus"
"038cd804b6b8e34054e5615b621479858a5060930b7bbf0fe7f23038d0214cc6","857beee1e323b53bbcc34a4017f8871f21d9f3952b5e6515656dc391547abc23","","method","FString GetActiveReplayName() const","GetActiveReplayName","","FString","0","","False","False","False","available","/Script/Engine.ReplaySubsystem:GetActiveReplayName","manual","Engine","","","","","","unclassified","pending-native-form-source-join"
"03abd02e0a3310ff9dbdd8987b1aea3ea08f1e77fdeba72d2e3c6448376682be","93cb40407e6142bb73d2390bec05959d899ccd6f736f65d07f20a60120aee144","","method","void SetInterpolatedComponent(USceneComponent Component)","SetInterpolatedComponent","","void","1","USceneComponent","False","False","True","available","/Script/Engine.ProjectileMovementComponent:SetInterpolatedComponent","manual","Engine","","","","","","unclassified","pending-native-form-source-join"
"03b487683eb19d5b8c442fac20e1c8b6800b8eafdf6f78ca830e148f2e8f1aae","b15c5085eae7bf1c2f4e71775069fbb1e7c19d74b97cd211cb1909e4eaf4ea60","","method","bool ComponentHasTag(FName Tag) const","ComponentHasTag","","bool","1","FName","False","False","False","available","/Script/Engine.ActorComponent:ComponentHasTag","manual","Engine","","","","","","unclassified","pending-native-form-source-join"
"03f42c699cda733bd99abae8d660ec704a789c7f68479fc55d5c9e55f25982d8","","FTransform","global-function","FTransform ApplyRelative(const FTransform&inout ParentWorldTransform, const FTransform&inout ChildRelativeTransform)","ApplyRelative","","FTransform","2","FTransform;FTransform","False","True","False","available","/Script/AngelscriptRuntime.AngelscriptFTransformStaticLibrary:ApplyRelative","manual","AngelscriptRuntime","Angelscript","","","","","unclassified","pending-native-form-source-join"
"04217391d044a1fd4d0a1fe89749957b739dadf3daad4c83777b26587339650c","","UBlueprintSpringMathLibrary","global-function","float32 SpringCharacterStoppingTime(float32 InitialVelocity, float32 SmoothingTime = 0.200000, float32 VelocityThreshold = 1.000000)","SpringCharacterStoppingTime","","float32","3","float32;float32;float32","True","False","False","available","/Script/Engine.BlueprintSpringMathLibrary:SpringCharacterStoppingTime","manual","Engine","","","","","","unclassified","pending-native-form-source-join"
"04b277276bb7a757d769840f595883b7c7c68a5b92bc57acd41cdec603e20d47","","UAISense_Prediction","global-function","void RequestControllerPredictionEvent(AAIController Requestor, AActor PredictedActor, float32 PredictionTime)","RequestControllerPredictionEvent","","void","3","AAIController;AActor;float32","False","False","True","available","/Script/AIModule.AISense_Prediction:RequestControllerPredictionEvent","manual","AIModule","","","","","","unclassified","pending-native-form-source-join"
"04cca06921118b75cdccf2407125826ec97431e185a31f341bd7655c77d0e9fc","8fb03d2805f10d52065d1c65e9dcd91b4549d6c486b24f525bcd3787c984fb66","","method","bool HasAssets(FName PackagePath, bool bRecursive) const","HasAssets","","bool","2","FName;bool","False","False","False","available","/Script/AssetRegistry.AssetRegistry:HasAssets","manual","AssetRegistry","","","","","","unclassified","pending-native-form-source-join"
"05424980af8af3ebd234d18eb87310120ab4be5c12938db452a81dd9449d35da","2b73f44d1b313ba2ee6485b71ae99ed84f44d68dad7eba3b1bae38eb04bf8e4c","","method","void GetCurves(FNamedCurveValue[]&inout OutValues) const","GetCurves","","void","1","FNamedCurveValue[]","False","True","False","available","/Script/Engine.CurveSourceInterface:GetCurves","manual","Engine","","","","","","unclassified","pending-native-form-source-join"
"055154b2ea0450021bd0c08ac7f48e9bcbda49b1deb122a5dd155aab3c4d97fc","963d40ad58971f34b1657ec6842fc5b633ddb71446375851d53091403c53936c","","method","void OnMatchReceivedTurn(FString Match, bool bDidBecomeActive)","OnMatchReceivedTurn","","void","2","FString;bool","False","False","False","available","/Script/OnlineSubsystem.TurnBasedMatchInterface:OnMatchReceivedTurn","manual","OnlineSubsystem","OnlineSubsystem","","","","","unclassified","pending-native-form-source-join"
"05877d6f1b547b46c06ca995cf7b83c7fe5aae6feab3250c7f00bcab254a87a8","f133cb39882c99f854780ad55b06c9c9ffffd57d223e6f4a7088eb655962fb64","","method","void ServerRPCBufferInput(UAsyncPhysicsData AsyncPhysicsData)","ServerRPCBufferInput","","void","1","UAsyncPhysicsData","False","False","True","available","/Script/Engine.AsyncPhysicsInputComponent:ServerRPCBufferInput","manual","Engine","","","","","","unclassified","pending-native-form-source-join"
